"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"1","A&M-Corpus Christi","ncaa","#0067C5","#007F3E",NA,NA,"Southland","A&M-Corpus","Christi","A&M-Corpus Christi",NA
"2","Abilene Christian Wildcats","ncaa","#461D7C","#FFFFFF",NA,NA,"WAC","Abilene","Christian Wildcats","Abilene Christian Wildcats","https://content.sportslogos.net/logos/30/5071/thumbs/507177262013.gif"
"3","Air Force","ncaa","#003087","#8A8D8F","#B1B3B3","#FFC72C","MWC","Air Force",NA,"Air Force Falcons","https://content.sportslogos.net/logos/30/595/thumbs/59535102020.gif"
"4","Akron","ncaa","#041E42","#A89968",NA,NA,"MAC","Akron",NA,"Akron",NA
"5","Alabama","ncaa","#9E1B32","#828A8F","#FFFFFF",NA,"SEC","Alabama",NA,"Alabama",NA
"6","Alabama A&M","ncaa","#660000","#FFFFFF",NA,NA,"SWAC","Alabama","A&M","Alabama A&M",NA
"7","Alabama State Hornets[i]","ncaa","#C99700","#000000",NA,NA,"SWAC","Alabama State","Hornets[i]","Alabama State Hornets[i]",NA
"8","Alcorn","ncaa","#46166A","#E9A713",NA,NA,"SWAC","Alcorn",NA,"Alcorn",NA
"9","American Eagles","ncaa","#C4122E","#005099",NA,NA,"Patriot","American","Eagles","American Eagles","https://content.sportslogos.net/logos/30/601/thumbs/c6bcevlqb0ggdhe3izuko9vbz.gif"
"10","App State","ncaa","#222222","#FFCC00",NA,NA,"Sunbelt","App State",NA,"App State",NA
"11","Arizona State Sun Devils","ncaa","#8C1D40","#FFC627",NA,NA,"Pac 12","Arizona State","Sun Devils","Arizona State Sun Devils","https://content.sportslogos.net/logos/30/604/thumbs/60465632012.gif"
"12","Arizona Wildcats","ncaa","#CC0033","#003366",NA,NA,"Pac 12","Arizona","Wildcats","Arizona Wildcats","https://content.sportslogos.net/logos/30/603/thumbs/60395182011.gif"
"13","Ark.-Pine Bluff","ncaa","#000000","#EEB310",NA,NA,"SWAC","Ark.-Pine","Bluff","Ark.-Pine Bluff",NA
"14","Arkansas Razorbacks","ncaa","#9D2235","#FFFFFF",NA,NA,"SEC","Arkansas","Razorbacks","Arkansas Razorbacks","https://content.sportslogos.net/logos/30/606/thumbs/60692202014.gif"
"15","Arkansas State Red Wolves","ncaa","#CC092F","#000000",NA,NA,"Sunbelt","Arkansas State","Red Wolves","Arkansas State Red Wolves","https://content.sportslogos.net/logos/30/605/thumbs/60556122015.gif"
"16","Army West Point","ncaa","#D4BF91","#000000","#B2B4B3",NA,"Patriot","Army","West Point","Army West Point",NA
"17","Auburn Tigers","ncaa","#0C2340","#E87722",NA,NA,"SEC","Auburn","Tigers","Auburn Tigers","https://content.sportslogos.net/logos/30/610/thumbs/61011451968.gif"
"18","Austin Peay","ncaa","#BA0C2F","#000000",NA,NA,"A-Sun","Austin","Peay","Austin Peay",NA
"19","BYU","ncaa","#002255","#C5AF7D",NA,NA,"WCC","BYU",NA,"Brigham Young Cougars","https://content.sportslogos.net/logos/30/622/thumbs/62210722021.gif"
"20","Ball State Cardinals","ncaa","#BA0C2F","#000000",NA,NA,"MAC","Ball State","Cardinals","Ball State Cardinals","https://content.sportslogos.net/logos/30/612/thumbs/61273522015.gif"
"21","Baylor Bears","ncaa","#003015","#FECB00",NA,NA,"Big 12","Baylor","Bears","Baylor Bears","https://content.sportslogos.net/logos/30/613/thumbs/61311562019.gif"
"22","Bellarmine","ncaa","#752936","#4d4d4d",NA,NA,"A-Sun","Bellarmine",NA,"Bellarmine",NA
"23","Belmont Bruins","ncaa","#002469","#C9262D",NA,NA,"MVC","Belmont","Bruins","Belmont Bruins","https://content.sportslogos.net/logos/30/614/thumbs/4681.gif"
"24","Bethune-Cookman","ncaa","#6F263D","#F2A900",NA,NA,"SWAC","Bethune-Cookman",NA,"Bethune-Cookman",NA
"25","Binghamton","ncaa","#005A43","#169B62","#BF0D3E","#B1B3B3","Am. East","Binghamton",NA,"Binghamton",NA
"26","Boise State Broncos","ncaa","#D64309","#0033A0",NA,NA,"MWC","Boise State","Broncos","Boise State Broncos","https://content.sportslogos.net/logos/30/617/thumbs/61734132013.gif"
"27","Boston College Eagles","ncaa","#98002E","#BC9B6A",NA,NA,"ACC","Boston College","Eagles","Boston College Eagles","https://content.sportslogos.net/logos/30/618/thumbs/61849282016.gif"
"28","Boston U.","ncaa","#CC0000","#FFFFFF",NA,NA,"Patriot","Boston","U.","Boston U.",NA
"29","Bowling Green","ncaa","#FE5000","#4F2C1D","#CDA077","#000000","MAC","Bowling Green",NA,"Bowling Green Falcons","https://content.sportslogos.net/logos/30/620/thumbs/62087732011.gif"
"30","Bradley Braves","ncaa","#A50000","#999999",NA,NA,"MVC","Bradley","Braves","Bradley Braves","https://content.sportslogos.net/logos/30/621/thumbs/62140442012.gif"
"31","Brown Bears","ncaa","#4E3629","#FFFFFF","#7C2529","#E4002B","Ivy","Brown","Bears","Brown Bears","https://content.sportslogos.net/logos/30/623/thumbs/62367162022.gif"
"32","Bryant Bulldogs","ncaa","#231F20","#B09863",NA,NA,"Am. East","Bryant","Bulldogs","Bryant Bulldogs","https://content.sportslogos.net/logos/30/5021/thumbs/502126362005.gif"
"33","Bucknell Bison","ncaa","#EF5B0C","#003865",NA,NA,"Patriot","Bucknell","Bison","Bucknell Bison","https://content.sportslogos.net/logos/30/624/thumbs/62418272011.gif"
"34","Buffalo","ncaa","#005BBB","#FFFFFF",NA,NA,"MAC","Buffalo",NA,"Buffalo Bulls","https://content.sportslogos.net/logos/30/819/thumbs/81942602016.gif"
